lang	category	byte_premium	1000mb_scaled_mb	1000mb_tokens	100mb_scaled_mb	100mb_tokens	10mb_scaled_mb	10mb_tokens	5mb_scaled_mb	5mb_tokens	full_scaled_mb	full_tokens	proportions
diq_latn	10mb	0.9584231474					10.00110801	2688000	5.00124733	1369088	37.98121703	9935872	wiki:0.17757489883748603,nllb:0.5210047725709396,glot500:0.3014203285915744
div_thaa	100mb	1.997934845			100.0024107	18036224	10.00145628	1890304	5.002338301	972288	634.0240589	114510336	tatoeba:1.93660339736833e-07,oscar:0.05858968848771825,wiki:0.006177063671713676,bible:0.0018820699052778834,glot500:0.35140213203428594,madlad400:0.5819488522406645
djk_latn	dropped	1.403510777											bible:0.27599713071366705,glot500:0.27477065066276746,madlad400:0.4492322186235655
dov_latn	5mb	0.989047107							5.002247077	958464	7.426789834	1389056	bible:0.10636158169007906,madlad400:0.893638418309921
dsb_latn	dropped	1.140810566											tatoeba:0.011779755368472426,oscar:0.005395924841386042,wiki:0.9828243197901415
dtp_latn	dropped	1.305739422											tatoeba:0.02533053494611141,glot500:0.025773285663206053,madlad400:0.9488961793906825
dty_deva	dropped	2.580265472											wiki:1.0
dyu_latn	10mb	1.15445855					10.00041205	3232768	5.000238506	1646592	11.94294056	3849216	nllb:0.6841765123305019,bible:0.3158234876694981,glot500:0.0
dzo_tibt	5mb	3.261842241							5.001729021	1396736	7.69526456	2019328	wiki:0.09586262159906665,nllb:0.022231743385186145,glot500:0.13417607606200127,madlad400:0.7477295589537459
egl_latn	dropped	1.214414268											tatoeba:0.002002982217968976,wiki:0.997997017782031
ekk_latn	10mb	0.993591004					10.00067495	2086912	5.001447084	1071104	61.40935522	12375552	bible:0.0075103187398836545,glot500:0.9924896812601164
ell_grek	1000mb	1.967262375	1000.000509	238704128	100.0003652	23875584	10.00146459	2489344	5.001759359	1269760			oscar:1.0
ell_latn	100mb	1.238882746			100.0015154	24510976	10.00065748	2552832	5.00177036	1305600	376.4160922	92225536	madlad400:1.0
eml_latn	dropped	1.281032842											glot500:1.0
eng_latn	1000mb	1	1000.002308	213977088	100.001044	21390848	10.000887	2192384	5.002111	1115648			oscar:0.9957859865671856,bible:0.004214013432814376
epo_latn	1000mb	0.9954937917	1000.000783	231384576	100.0005111	23139328	10.00120752	2380800	5.000168801	1205760			oscar:0.1449198285984743,wiki:0.1401394704961517,nllb:0.33221170975200076,bible:0.0014917375819306885,glot500:0.38123725357144256
est_latn	1000mb	0.9677856419	1000.001538	189518336	100.0007685	18955264	10.00152159	1967104	5.002134548	995840			oscar:1.0
